Blocksize: 50000	= 2.19114630000000000000
Blocksize: 100000	= 1.89935490000000000000
Blocksize: 150000	= 1.82822280000000000000
Blocksize: 200000	= 1.76510190000000000000
Blocksize: 250000	= 1.81626260000000000000
Blocksize: 300000	= 1.81954780000000000000
Blocksize: 350000	= 1.76998860000000000000
Blocksize: 400000	= 1.75219140000000000000
Blocksize: 450000	= 1.77046480000000000000
Blocksize: 500000	= 1.82282720000000000000
Blocksize: 550000	= 1.82649940000000000000
Blocksize: 600000	= 1.87237600000000000000
Blocksize: 650000	= 1.88079080000000000000
Blocksize: 700000	= 1.95257570000000000000
Blocksize: 750000	= 1.97282120000000000000
Blocksize: 800000	= 1.99674840000000000000
Blocksize: 850000	= 2.02092720000000000000
Blocksize: 900000	= 2.05163970000000000000
Blocksize: 950000	= 2.05042820000000000000
Blocksize: 1000000	= 2.07716950000000000000
Blocksize: 1050000	= 2.07642380000000000000
Blocksize: 1100000	= 2.08595430000000000000
Blocksize: 1150000	= 2.11402710000000000000
Blocksize: 1200000	= 2.10829470000000000000
Blocksize: 1250000	= 2.10497290000000000000
Blocksize: 1300000	= 2.10838450000000000000
Blocksize: 1350000	= 2.09754550000000000000
Blocksize: 1400000	= 2.11034450000000000000
Blocksize: 1450000	= 2.13829840000000000000
Blocksize: 1500000	= 2.10740680000000000000
Blocksize: 1550000	= 2.12810130000000000000
Blocksize: 1600000	= 2.13711240000000000000
Blocksize: 1650000	= 2.12086180000000000000
Blocksize: 1700000	= 2.12148660000000000000
Blocksize: 1750000	= 2.15200650000000000000
Blocksize: 1800000	= 2.14814090000000000000
Blocksize: 1850000	= 2.14081450000000000000
Blocksize: 1900000	= 2.13556690000000000000
Blocksize: 1950000	= 2.13156220000000000000
Blocksize: 2000000	= 2.15001460000000000000
Blocksize: 2050000	= 2.15997590000000000000
Blocksize: 2100000	= 2.15453430000000000000
Blocksize: 2150000	= 2.15185330000000000000
Blocksize: 2200000	= 2.15746120000000000000
Blocksize: 2250000	= 2.16227540000000000000
Blocksize: 2300000	= 2.15846180000000000000
Blocksize: 2350000	= 2.16811970000000000000
Blocksize: 2400000	= 2.18905910000000000000
Blocksize: 2450000	= 2.17590720000000000000
Blocksize: 2500000	= 2.17816500000000000000
Blocksize: 2550000	= 2.17386170000000000000
Blocksize: 2600000	= 2.16782130000000000000
Blocksize: 2650000	= 2.19905210000000000000
Blocksize: 2700000	= 2.19490200000000000000
Blocksize: 2750000	= 2.19720140000000000000
Blocksize: 2800000	= 2.18404420000000000000
Blocksize: 2850000	= 2.18847470000000000000
Blocksize: 2900000	= 2.18338610000000000000
Blocksize: 2950000	= 2.18324820000000000000
Blocksize: 3000000	= 2.18401310000000000000
Blocksize: 3050000	= 2.21066140000000000000
Blocksize: 3100000	= 2.19638540000000000000
Blocksize: 3150000	= 2.19592090000000000000
Blocksize: 3200000	= 2.18762720000000000000
Blocksize: 3250000	= 2.18797510000000000000
Blocksize: 3300000	= 2.18431560000000000000
Blocksize: 3350000	= 2.21157020000000000000
Blocksize: 3400000	= 2.19650820000000000000
Blocksize: 3450000	= 2.22003880000000000000
Blocksize: 3500000	= 2.20516440000000000000
Blocksize: 3550000	= 2.20800050000000000000
Blocksize: 3600000	= 2.21634090000000000000
Blocksize: 3650000	= 2.23855950000000000000
Blocksize: 3700000	= 2.23486930000000000000
Blocksize: 3750000	= 2.21628390000000000000
Blocksize: 3800000	= 2.21400360000000000000
Blocksize: 3850000	= 2.20151540000000000000
Blocksize: 3900000	= 2.21641110000000000000
Blocksize: 3950000	= 2.20478780000000000000
Blocksize: 4000000	= 2.20640380000000000000
Blocksize: 4050000	= 2.20425480000000000000
Blocksize: 4100000	= 2.21445450000000000000
Blocksize: 4150000	= 2.21452660000000000000
Blocksize: 4200000	= 2.22076160000000000000
Blocksize: 4250000	= 2.23662540000000000000
Blocksize: 4300000	= 2.24852850000000000000
Blocksize: 4350000	= 2.22723210000000000000
Blocksize: 4400000	= 2.24217080000000000000
Blocksize: 4450000	= 2.26013410000000000000
Blocksize: 4500000	= 2.26648240000000000000
Blocksize: 4550000	= 2.29312040000000000000
Blocksize: 4600000	= 2.28540530000000000000
Blocksize: 4650000	= 2.31422060000000000000
Blocksize: 4700000	= 2.32423050000000000000
Blocksize: 4750000	= 2.32956920000000000000
Blocksize: 4800000	= 2.35030330000000000000
Blocksize: 4850000	= 2.36252350000000000000
Blocksize: 4900000	= 2.38739200000000000000
Blocksize: 4950000	= 2.36568420000000000000
Blocksize: 5000000	= 2.38060710000000000000
