Blocksize: 50000	= 1.02061550000000000000
Blocksize: 60000	= .95168170000000000000
Blocksize: 70000	= .91961520000000000000
Blocksize: 80000	= .92789100000000000000
Blocksize: 90000	= .91100260000000000000
Blocksize: 100000	= .92694330000000000000
Blocksize: 110000	= .90015090000000000000
Blocksize: 120000	= .90192860000000000000
Blocksize: 130000	= .90672090000000000000
Blocksize: 140000	= .92208340000000000000
Blocksize: 150000	= .90211740000000000000
Blocksize: 160000	= .89512620000000000000
Blocksize: 170000	= .88359130000000000000
Blocksize: 180000	= .88940080000000000000
Blocksize: 190000	= .87533350000000000000
Blocksize: 200000	= .89314950000000000000
Blocksize: 210000	= .90301020000000000000
Blocksize: 220000	= .90104560000000000000
Blocksize: 230000	= .90151910000000000000
Blocksize: 240000	= .89117590000000000000
Blocksize: 250000	= .89659750000000000000
Blocksize: 260000	= .88944550000000000000
Blocksize: 270000	= .88472990000000000000
Blocksize: 280000	= .87451390000000000000
Blocksize: 290000	= .89549460000000000000
Blocksize: 300000	= .89669220000000000000
Blocksize: 310000	= .89794180000000000000
Blocksize: 320000	= .88635660000000000000
Blocksize: 330000	= .87939600000000000000
Blocksize: 340000	= .90082820000000000000
Blocksize: 350000	= .89788410000000000000
Blocksize: 360000	= .90272230000000000000
Blocksize: 370000	= .88820890000000000000
Blocksize: 380000	= .91441030000000000000
Blocksize: 390000	= .89951030000000000000
Blocksize: 400000	= .88430030000000000000
Blocksize: 410000	= .87865920000000000000
Blocksize: 420000	= .90812670000000000000
Blocksize: 430000	= .89069240000000000000
Blocksize: 440000	= .90642550000000000000
Blocksize: 450000	= .92196290000000000000
Blocksize: 460000	= .88565850000000000000
Blocksize: 470000	= .90140730000000000000
Blocksize: 480000	= .89706030000000000000
Blocksize: 490000	= .92568190000000000000
Blocksize: 500000	= .90189910000000000000
